iter	RMSE
0	3.285566352
1	3.213146834
2	3.143931601
3	3.079081212
4	3.017987755
5	2.9642472
6	2.912213249
7	2.860361343
8	2.806620554
9	2.753132614
10	2.6975929
11	2.646516047
12	2.593228766
13	2.550919044
14	2.505214144
15	2.467662527
16	2.433993229
17	2.390238326
18	2.363362615
19	2.328790091
20	2.304674663
21	2.272102576
22	2.238472482
23	2.207585026
24	2.171279089
25	2.14115961
26	2.109749857
27	2.083894099
28	2.06261004
29	2.042747181
30	2.008246783
31	1.978594528
32	1.956413659
33	1.935619888
34	1.912874818
35	1.886997994
36	1.864781487
37	1.841465125
38	1.8256623
39	1.808414115
40	1.794648485
41	1.773976215
42	1.750117237
43	1.722956931
44	1.710160548
45	1.688663164
46	1.669305088
47	1.65165922
48	1.636274402
49	1.613061599
50	1.600907658
51	1.588219146
52	1.569628462
53	1.548682556
54	1.532175216
55	1.513478647
56	1.496818301
57	1.478772138
58	1.467690799
59	1.449265133
60	1.431308765
61	1.419598528
62	1.402482985
63	1.38673394
64	1.374750634
65	1.359802033
66	1.351969969
67	1.337693805
68	1.317887056
69	1.308203686
70	1.29647163
71	1.28041389
72	1.263684822
73	1.250892379
74	1.24136201
75	1.22671082
76	1.218503257
77	1.206450399
78	1.194403748
79	1.188471555
80	1.176564534
81	1.169632831
82	1.15587873
83	1.149249217
84	1.135691669
85	1.124965452
86	1.116681424
87	1.11194625
88	1.105151124
89	1.096931668
90	1.087547258
91	1.077306329
92	1.070940103
93	1.057503461
94	1.046557127
95	1.039278496
96	1.027080247
97	1.019068812
98	1.011326014
99	1.004926652
