iter	Passed	Remaining
0	2	206
1	2	143
2	3	120
3	4	106
4	5	98
5	5	93
6	6	89
7	7	86
8	8	83
9	8	80
10	9	78
11	10	77
12	11	75
13	11	73
14	12	71
15	13	69
16	13	68
17	14	66
18	15	65
19	15	63
20	16	62
21	17	62
22	18	60
23	18	59
24	19	58
25	20	57
26	21	57
27	21	56
28	22	55
29	23	54
30	24	53
31	25	53
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	31	44
41	32	44
42	32	43
43	33	42
44	34	41
45	35	41
46	35	40
47	36	39
48	37	38
49	37	37
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	47	27
63	47	26
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	53	22
70	54	22
71	55	21
72	56	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	60	15
79	60	15
80	61	14
81	62	13
82	63	12
83	64	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	72	3
96	73	2
97	74	1
98	74	0
99	75	0
